notes,average_rating,count
Poppy,5.0,1
Pink Lotus,5.0,1
Vanila,5.0,1
Amyris,5.0,1
Italian Orris Root,5.0,1
Broom,5.0,1
Cade oil,5.0,1
Pine tar,5.0,1
Hawthorn,4.835,2
White Lily,4.81,1
Bourbon Whiskey,4.8,1
Metallic notes,4.75,1
Cashmeran,4.666666666666667,3
Marine notes,4.6,1
Cacao Pod,4.57,1
Violet Root,4.51,1
Apple Blossom,4.5,2
Crystal Amber,4.5,1
Guatemalan Cardamom,4.5,1
Opium,4.5,1
Licorice,4.5,2
,4.5,2
Wild Rose,4.5,1
Wild Strawberry,4.5,1
Coumarin,4.495,2
Sandalowood,4.48,2
Mineral notes,4.48,1
Fern,4.44,1
Toffee,4.4366666666666665,3
Natural Musk,4.42,2
Cranberry,4.42,1
Exotic Woods,4.413333333333333,3
Buckwheat,4.41,1
Rose de Mai,4.4,1
Red Berries,4.4,2
Water Notes,4.3999999999999995,3
Powdery Notes,4.39,4
Orris,4.38,3
Pomegranate,4.38,3
Japanese Green Tea,4.38,1
Hyacinth,4.375,2
Beeswax,4.375,4
Birch,4.37,1
Litchi,4.36,6
Rose Petals,4.36,1
Tunisian Neroli,4.33,1
Orange Peel,4.33,1
Blood Mandarin,4.33,1
Night Blooming Jasmine,4.33,1
White Lotus,4.33,1
Water Lily,4.33,1
Green Accord,4.33,1
Rice Flower,4.32,1
Mai Tai Cocktail,4.32,1
Peony,4.314615384615385,13
Spicy Notes,4.31125,8
Camphor,4.31,1
Orange,4.308181818181819,11
Myrhh,4.3,1
Sea Notes,4.291428571428571,7
Tagetes,4.29,1
cannabis,4.29,1
Cyclamen,4.284000000000001,5
Grapes,4.28,1
White Orchid,4.28,1
Almond,4.275,4
Bulgarian Rose,4.266,5
Woodsy Notes,4.265555555555555,9
Holly,4.26,1
Dry Wood,4.26,1
Pitahaya,4.26,1
Tolu Balsam,4.25,1
Fig Nectar,4.25,1
Sicilian Orange,4.25,1
Mysore Sandalwood,4.25,2
Angelica,4.248,5
Fig,4.2475000000000005,4
Milk,4.24,3
African Orange Flower,4.234999999999999,2
Longoza,4.23,1
Champaca,4.23,2
Black Rose,4.23,1
Galbanum,4.2275,4
Rosemary,4.22,4
Tiare Flower,4.215,2
Red Apple,4.21125,8
Storax,4.21,2
Ivy,4.205,2
Civet,4.2025,4
Violet Leaves,4.2,1
White Woods,4.1975,4
Caramel,4.196666666666666,6
Hazelnut,4.19,3
Vodka,4.19,1
Dried Fruits,4.1850000000000005,2
Petitgrain,4.182857142857143,7
Black locust,4.18,1
Cumin,4.18,2
oak moss,4.18,4
Tincture of Rose,4.175,2
Lotus,4.173333333333333,3
Magnolia,4.17,10
Myrtle,4.17,2
Lesser Calamint,4.17,1
Big Strawberry,4.17,1
Vanille,4.166666666666667,6
Floral Notes,4.165454545454545,11
Anise,4.16,9
Ylang-Ylang,4.1561111111111115,18
Iris,4.153888888888889,18
Citrus Blossom,4.15,1
Nutmeg,4.1466666666666665,18
Tea Rose,4.14,1
Dark Chocolate,4.14,1
Cacao,4.135,6
Passionfruit,4.135,2
Bay Leaf,4.13,4
Lavender Extract,4.126666666666666,3
Turkish Rose,4.125,6
Oak,4.12,4
Acácia,4.12,1
Tobacco Blossom,4.12,1
Sichuan Pepper,4.116666666666666,3
Sicilian Bergamot,4.115,2
Mushroom,4.11,1
Balsam Fir,4.11,1
Vetiver,4.10025641025641,39
Madagascar Vanilla,4.1,4
Hyssop,4.1,1
Moroccan Rose,4.095000000000001,2
Rum,4.095,4
Cashmere Wood,4.095,8
Virginia Cedar,4.093076923076923,13
Australian Sandalwood,4.09,2
Artemisia,4.09,8
Black Iris,4.09,1
May Rose,4.09,2
Neroli,4.09,15
Yuzu,4.085,2
Immortelle,4.085,4
Sea Salt,4.083333333333333,3
Gardenia,4.08125,8
Black Leather,4.08,1
Black Tea,4.08,1
Rose Thorn,4.08,1
Ginger,4.079,20
Saffron,4.077777777777778,18
Sage,4.0760000000000005,5
Watery Notes,4.075,2
Spicy Mint,4.073333333333333,3
Cherry,4.073333333333333,3
Juniper Berries,4.073333333333333,3
Jasmine,4.073333333333333,87
Cedar,4.07125,48
Lavender,4.071153846153846,26
Guava,4.07,1
Calabrian bergamot,4.07,5
Salt,4.07,1
Pink Grapefruit,4.07,1
Pine,4.07,1
Red Fruits,4.0675,4
Mint,4.063846153846153,13
Pear Blossom,4.06,1
Styrax,4.06,3
Carambola (Star Fruit),4.06,1
Texas Cedar,4.06,1
Pimento,4.06,1
Hedione,4.06,1
Smoke,4.056666666666667,3
White Musk,4.054545454545455,11
Honey,4.053333333333334,6
Lemongrass,4.05,1
Himalayan Cedar,4.05,1
Costus,4.05,2
Coriander,4.049,10
Grapefruit,4.043913043478261,23
Jasmine Sambac,4.04111111111111,9
Cucumber,4.04,3
Sandalwood,4.036279069767442,86
Brazilian Orange,4.035,2
Olibanum,4.033636363636363,11
Resin,4.0325,4
Mandarin Orange,4.031463414634146,41
Castoreum,4.03,1
Chocolate,4.03,3
Apple,4.0284615384615385,13
Patchouli,4.023717948717949,78
Coconut,4.022,10
Tarragon,4.02,2
Earthy Notes,4.02,1
Tangerine,4.019,10
Brown sugar,4.0175,4
Moss,4.0128571428571425,7
Lemon,4.0109375,32
White Tea,4.01,1
Dried Plum,4.01,1
Vanilla,4.007567567567568,74
Damask Rose,4.0075,4
Butter,4.0,1
Persimmon,4.0,1
Lime peel,4.0,1
White Leather,4.0,1
Fire,4.0,1
Caraway,4.0,1
Calamus,4.0,1
Algae,4.0,1
Coffee blossom,4.0,1
Dew Drop,4.0,1
Pimento Seeds,4.0,1
Fir,4.0,1
Kyara Incense,4.0,1
Oud,4.0,2
Quince,4.0,1
Oak Tree,4.0,1
Henna,4.0,1
Daisy,4.0,1
Amaretto,4.0,1
Cotton Flower,4.0,3
Italian Tangerine,4.0,1
Violet,3.9983999999999997,25
Narcissus,3.9966666666666675,3
Kiwi,3.99,1
Peach,3.9884615384615385,26
Strawberry,3.986666666666667,3
Agarwood (Oud),3.9856,25
Gurjan balsam,3.9850000000000003,2
Lime,3.9844444444444442,9
Apricot,3.9825,4
Freesia,3.9804347826086954,23
Animal notes,3.98,1
Bourbon Vanilla,3.9799999999999995,2
Cloves,3.9785714285714286,7
Heliotrope,3.9784615384615383,13
Amber,3.977123287671233,73
Rose,3.9759016393442623,61
Palisander Rosewood,3.975,4
Plum,3.975,6
Clary Sage,3.973333333333333,3
Tonka Bean,3.9712,25
Cypriol Oil or Nagarmotha,3.97,5
Citruses,3.966666666666667,12
Bergamot,3.966,85
White Amber,3.965,4
Egyptian Jasmine,3.965,2
Pear,3.9630769230769234,13
Coconut Water,3.96,1
Raspberry,3.9588235294117644,17
Tea,3.9571428571428577,7
Celery,3.956666666666667,3
Fig Leaf,3.955,2
Geranium,3.9548,25
Amalfi Lemon,3.9519999999999995,5
Matcha Tea,3.95,1
Chamomile,3.9499999999999997,6
Oakmoss,3.947777777777778,18
Rhubarb,3.9450000000000003,2
French labdanum,3.9450000000000003,2
Musk,3.944622641509434,106
Cardamom,3.9410344827586203,29
Rose Oxide,3.94,1
Vanilla Bean,3.94,1
Dates,3.94,1
Pink Pepper,3.93375,16
Green Notes,3.933,10
Wisteria,3.93,1
Sorbet,3.93,1
Red Thyme,3.93,1
Clove,3.93,1
Lily,3.9299999999999997,6
Cherry Blossom,3.925,2
Taif Rose,3.925,2
Water Hyacinth,3.92,1
White Honey,3.92,2
Leather,3.9160869565217387,23
Cassis,3.9150000000000005,6
Cinnamon,3.9150000000000005,6
Bitter Orange,3.915,2
Lily-of-the-Valley,3.914,30
Sea water,3.91,2
Italian Iris,3.91,1
Solar Notes,3.91,1
black fig,3.91,1
Melon,3.91,3
Amberwood,3.9074999999999998,4
Tuberose,3.904,10
Cassia,3.9033333333333338,3
Orris Root,3.9033333333333338,6
Candied Ginger,3.9,1
Coconut Nectar,3.9,1
Condensed Milk,3.89,1
Sugar Cane,3.89,1
China Rose,3.89,1
Ambroxan,3.8899999999999997,5
Whiskey,3.885,2
Aldehydes,3.8816666666666664,6
Wormwood,3.88,1
Mango,3.88,1
Milk Chocolate,3.88,1
Almond Blossom,3.88,1
Lilac,3.875,4
Red Currant,3.875,2
Hibiscus,3.875,2
Vanilla Orchid,3.87,1
Russian Leather,3.87,1
Ambergris,3.8646153846153846,13
Cistus Incanus,3.86,1
Cognac,3.86,1
Violet Leaf,3.8560000000000003,5
Green Grape,3.85,1
Spun Sugar,3.85,1
Marzipan,3.85,1
Mimosa,3.846,5
White Flowers,3.8449999999999998,2
Pine Tree,3.8449999999999998,2
Guaiac Wood,3.8433333333333337,9
Cedarwood,3.84,1
Turkish Rose Oil,3.84,1
Cashmere Musk,3.84,1
Incense,3.836875,16
Citron,3.835,2
Suede,3.8325,4
Datura,3.83,1
Wheat,3.82,1
Tonka,3.82,1
plum,3.82,1
Myrrh,3.81625,8
Eucalyptus,3.81,1
Blackberry,3.8020000000000005,5
Grapefruit blossom,3.8,1
Papyrus,3.8,4
Star Anise,3.796666666666667,3
Opoponax,3.796666666666667,3
Davana,3.795,2
White Peach,3.79,1
Sand,3.79,1
Lemon Zest,3.7899999999999996,3
Carnation,3.7877777777777775,9
Thyme,3.7875,4
Precious Woods,3.7800000000000002,4
Coffee,3.778,10
Ambrette (Musk Mallow),3.775,6
Cypress,3.7737499999999997,8
Tobacco,3.773076923076923,13
Honeysuckle,3.7600000000000002,7
Liatris,3.76,1
Green Mandarin,3.76,1
Calone,3.75,2
Lemon Verbena,3.745,2
Praline,3.7422222222222223,9
Labdanum,3.7405555555555554,18
Vanilla Absolute,3.733333333333333,3
Peru Balsam,3.73,1
Driftwood,3.725,2
Granny Smith apple,3.7249999999999996,2
Orchid,3.7245454545454546,11
Green Tea,3.723333333333333,3
elemi,3.723333333333333,3
Pepper,3.722,5
Mirabella Plum,3.72,1
Basil,3.7128571428571426,7
Woody Notes,3.712,15
Dried Apple Crisp,3.71,1
Cambodian Oud,3.71,1
Hemlock,3.71,1
Black Currant,3.705,8
Whipped Cream,3.7,1
Lily of the Valley,3.6966666666666668,3
Orange Blossom,3.6925,28
Biscuit,3.69,1
Italian Lemon,3.68,1
Bamboo,3.68,1
Fennel,3.6799999999999997,2
Wild Berries,3.67,1
Soil Tincture,3.67,1
Red Wine,3.67,1
Bergamot Leaf,3.67,1
Pineapple,3.659090909090909,11
White Wood,3.6550000000000002,2
Nectarine,3.65,3
Benzoin,3.642857142857143,21
Oregano,3.6366666666666667,3
Pomarose,3.62,1
Sweet Orange,3.61,1
Mate,3.6,1
Delonix,3.58,1
Sweet Notes,3.58,1
Turmeric,3.56,2
Red Rose,3.56,1
Watermelon,3.55,2
Liquor,3.54,1
Red Chilli Pepper,3.53,1
Spices,3.5271428571428567,7
Black Elder,3.5,1
Black Pepper,3.4977777777777774,9
Blood Orange,3.48,2
White Chocolate,3.475,2
Green Leaves,3.475,4
Ginger flower,3.45,1
White Cedar Extract,3.44,1
Frangipani,3.4375,4
Truffle,3.43,1
White Pepper,3.415,2
Fruity Notes,3.4124999999999996,4
Atlas Cedar,3.3899999999999997,4
Osmanthus,3.3575,4
Laurels,3.33,1
Mahogany,3.33,1
Black Currant Blossom,3.33,1
Tobacco Leaf,3.33,1
Thuja,3.33,1
Fruits,3.33,1
Haitian Vetiver,3.31,1
Jasmine Tea,3.3,2
Sugar,3.295,2
Exotic floral notes,3.27,1
Wildflowers,3.25,1
Amrostar®,3.25,1
Pistachio,3.18,1
Plum Blossom,3.0,1
Ozonic notes,2.8049999999999997,2
Citrus Leaf,2.67,1
Absinthe,,0
Acai Berry,,0
Accord Eudora®,,0
Acerola,,0
Advocaat,,0
African Geranium,,0
African Ginger,,0
African Violet,,0
Agarwood,,0
Agave,,0
Agave nectar,,0
Aglaia,,0
Akigalawood,,0
Alcantara accord,,0
Allspice,,0
Almond Cream,,0
Almond Milk,,0
Almond Tree,,0
Aloe Vera,,0
Amaranth,,0
Amaryllis,,0
Amazon Lily,,0
Amazon Moonflower,,0
Amber Oil,,0
Amber Xtreme,,0
Ambertonic,,0
Ambrarome,,0
Ambreine,,0
Ambretone,,0
Ambrette,,0
Ambrettolide,,0
Ambrocenide,,0
Ambrox Super,,0
Ammophila,,0
Ammophila (beach grass),,0
Amyl Salicylate,,0
Angels Trumpet,,0
Apple Leaf,,0
Apple Mint,,0
Apple Tree,,0
Apple juice,,0
Apple sherbet,,0
Applejack,,0
Apricot Blossom,,0
Aquatic notes,,0
Arabian Spices,,0
Araucaria,,0
Arctic Bramble,,0
Argan Tree,,0
Argentinian Lemon,,0
Aromatic Notes,,0
Aromatic Spices,,0
Arum Lily,,0
Asafoetida,,0
Ash,,0
Asian lily,,0
Asparagus,,0
Asphalt,,0
Assam Oud,,0
Baie Rose,,0
Baileys Irish Cream,,0
Bakhoor,,0
Balsamic Notes,,0
Balsamic Vinegar,,0
Bamboo Leaf,,0
Banana,,0
Banana Leaf,,0
Baobab,,0
Bark,,0
Barley,,0
Basil Leaf,,0
Bay essence,,0
Beer/Ale,,0
Beetroot,,0
Belladonna,,0
Bellflower,,0
Bellini,,0
Bengal Pepper,,0
Bergamot Blossom,,0
Berry Fruits,,0
Betel Pepper,,0
Bigarade,,0
Birch Leaf,,0
Birch Tar,,0
Bitter Almond,,0
Bitter Orange Blossom,,0
Black Amber,,0
Black Cardamom,,0
Black Cherry,,0
Black Gardenia,,0
Black Licorice,,0
Black Musk,,0
Black Narcissus,,0
Black Orchid,,0
Black Spruce,,0
Black Vanilla Husk,,0
Black Violet,,0
Black and Pink Pepper,,0
Black currant leaf,,0
Black hemlock or Tsuga,,0
Black locust Honey,,0
Blackberry Blossom,,0
Blackberry leaf,,0
Blackcurrant Syrup,,0
Blackwood,,0
Blonde Woods,,0
Blood,,0
Blood Grapefruit,,0
Blue Curacao,,0
Blue Hyacinth,,0
Blue Lavender,,0
Blue Lotus,,0
Blue Margarita,,0
Blue Rose,,0
Blue Sage,,0
Blueberry,,0
Boisiris,,0
Boletus edulis,,0
Borneol,,0
Boronia,,0
Bougainvillea,,0
Bourbon Geranium,,0
Bourbon Pepper,,0
Bourbon Rose,,0
Bourbon Vetiver,,0
Boysenberry,,0
Bran,,0
Brandy,,0
Brazilian Mandarin,,0
Brazilian Redwood,,0
Brazilian Rosewood,,0
Bread,,0
Breu-Branco,,0
Bromelia,,0
Brown Scotch Tape,,0
Bubble Gum,,0
Buchu or Agathosma,,0
Buddha Wood,,0
Buddleia,,0
Bulgarian Light Tobacco,,0
Bulrush,,0
Burdock,,0
Buriti,,0
Buttercup,,0
Butterfly Orchid,,0
Butterscotch,,0
CO2 Extracts,,0
Cabreuva,,0
Cacao Blossom,,0
Cacao Butter,,0
Cactus,,0
Cactus Flower,,0
Caipirinha,,0
Cake,,0
Calabrian Mandarin,,0
Calamansi,,0
California Orange,,0
California Redwood,,0
Calla Lily,,0
Calypsone,,0
Camelia,,0
Camellia,,0
Campari,,0
Canadian balsam,,0
Cananga,,0
Candied Almond,,0
Candied Fruits,,0
